USERNAME, TIMESTAMP, ACTION, RESOURCE
mlblack, 05/07/2016 02:45:09PM, view, system alert CA04941
akbonilla, 02/14/2015 09:16:42AM, view, system alert CA04941
pdferrari, 06/03/2015 08:08:55PM, view, system alert CA04901
ttschubert, 03/17/2016 01:04:18AM, view, system alert CA04901
gphsu, 05/27/2017 05:45:23AM, view, system alert CA04901
wjloyd, 12/09/2017 04:51:19PM, view, system alert CA04901
vtaranda, 05/22/2017 11:39:08AM, view, system alert CA04901
gmgoins, 03/19/2016 03:46:30AM, view, system alert CA04901
hflovell, 05/03/2016 12:04:57PM, view, system alert CA04825
tbbeard, 10/26/2017 02:19:52PM, view, system alert CA04825
akbonilla, 02/18/2015 03:48:17AM, view, system alert CA04825
gphsu, 05/16/2015 02:18:36AM, view, system alert CA04708
hflovell, 11/14/2015 05:18:39PM, view, system alert CA04708
tbbeard, 08/02/2017 05:22:35AM, view, system alert CA04705
tbbeard, 07/22/2015 08:51:51AM, view, system alert CA04705
mlblack, 11/10/2017 11:00:10AM, view, system alert CA04695
gphsu, 07/18/2016 08:37:16AM, view, system alert CA04542
vtaranda, 04/10/2015 09:04:51AM, view, system alert CA04542
hflovell, 03/12/2016 09:03:34PM, view, system alert CA04542
hqcooney, 08/09/2015 06:15:37AM, view, system alert CA04542
akbonilla, 11/16/2015 04:35:39AM, view, system alert CA04524
gmgoins, 07/10/2017 02:52:26PM, view, system alert CA04505
akbonilla, 03/05/2015 10:54:39AM, view, system alert CA04505
tbbeard, 01/12/2015 01:02:24AM, view, system alert CA04505
pdferrari, 02/01/2015 10:18:49PM, view, system alert CA04494
ttschubert, 12/06/2016 01:06:54PM, view, system alert CA04494
vtaranda, 09/05/2015 07:19:13PM, view, system alert CA04352
hqcooney, 12/17/2016 07:49:51PM, view, system alert CA04352
hflovell, 04/07/2016 12:06:28AM, view, system alert CA04352
hqcooney, 11/13/2016 12:56:00PM, view, system alert CA04247
vtaranda, 11/22/2015 12:10:49AM, view, system alert CA04239
pdferrari, 12/19/2017 01:44:53AM, view, system alert CA04239
wjloyd, 06/18/2016 02:52:14PM, view, system alert CA04239
gmgoins, 03/08/2016 12:35:15PM, view, system alert CA04239
hqcooney, 08/14/2017 07:21:04PM, view, system alert CA04222
ttschubert, 05/13/2017 12:54:38PM, view, system alert CA04222
wjloyd, 11/25/2017 01:28:58AM, view, system alert CA04210
pdferrari, 02/23/2017 04:00:19AM, view, system alert CA04206
akbonilla, 07/09/2016 06:29:48PM, view, system alert CA04206
lzkinard, 12/08/2015 08:29:17AM, view, system alert CA04057
mnshepherd, 04/16/2015 03:51:15AM, view, system alert CA04046
hqcooney, 01/18/2017 02:50:44PM, view, system alert CA04016
wjloyd, 11/22/2016 05:04:22PM, view, system alert CA04016
lzkinard, 05/26/2015 05:42:55PM, view, system alert CA03990
mlblack, 05/02/2016 07:43:52AM, view, system alert CA03990
gphsu, 12/08/2017 10:33:53AM, view, system alert CA03977
akbonilla, 10/17/2016 06:29:00PM, view, system alert CA03977
akbonilla, 04/09/2016 01:23:07AM, view, system alert CA03977
akbonilla, 06/01/2017 02:37:02AM, view, system alert CA03977
mlblack, 09/26/2015 07:29:25PM, view, system alert CA03977
pdferrari, 03/25/2016 08:31:45AM, view, system alert CA03977
akbonilla, 04/12/2016 03:32:45AM, view, system alert CA03977
vtaranda, 09/05/2015 03:09:35AM, view, system alert CA03977
akbonilla, 10/19/2016 08:49:47AM, view, system alert CA03977
vtaranda, 12/14/2017 10:23:24PM, view, system alert CA03977
pdferrari, 05/12/2017 07:22:58AM, view, system alert CA03977
gphsu, 04/23/2017 03:05:30AM, view, system alert CA03977
mlblack, 04/27/2017 03:32:31AM, view, system alert CA03977
hqcooney, 01/09/2015 10:39:59PM, view, system alert CA03977
wjloyd, 09/05/2015 08:58:05PM, view, system alert CA03977
ttschubert, 11/27/2017 01:10:47AM, view, system alert CA03977
gphsu, 10/05/2016 09:59:31AM, view, system alert CA03977
pdferrari, 01/16/2015 11:07:11AM, view, system alert CA03977
akbonilla, 05/12/2016 01:56:00PM, view, system alert CA03977
gmgoins, 02/16/2016 02:13:18PM, view, system alert CA03977
vtaranda, 05/02/2015 01:30:35PM, view, system alert CA03977
akbonilla, 03/14/2017 07:56:10AM, view, system alert CA03977
gphsu, 07/13/2015 08:50:35AM, view, system alert CA03977
tbbeard, 11/24/2017 11:29:18PM, view, system alert CA03977
vtaranda, 02/10/2015 06:23:53PM, view, system alert CA03977
ttschubert, 01/14/2017 02:11:07PM, view, system alert CA03977
hflovell, 01/23/2017 06:12:45AM, view, system alert CA03977
pdferrari, 01/14/2015 09:45:26PM, view, system alert CA03977
tbbeard, 04/25/2016 10:44:11AM, view, system alert CA03977
tbbeard, 06/16/2017 07:29:22PM, view, system alert CA03977
hqcooney, 01/11/2016 02:07:27AM, view, system alert CA03977
mlblack, 05/09/2017 02:58:07AM, view, system alert CA03977
gphsu, 09/22/2015 10:31:16PM, view, system alert CA03977
tbbeard, 02/26/2016 09:44:43PM, view, system alert CA03957
hflovell, 02/18/2016 06:15:02PM, view, system alert CA03957
wjloyd, 11/12/2017 05:56:34PM, view, system alert CA03957
hqcooney, 01/16/2015 11:07:01AM, view, system alert CA03957
wjloyd, 10/22/2017 11:09:18PM, view, system alert CA03957
gmgoins, 06/12/2016 08:03:56AM, view, system alert CA03957
wjloyd, 11/14/2016 05:19:26PM, view, system alert CA03957
pdferrari, 05/20/2017 08:57:17AM, view, system alert CA03957
vtaranda, 01/21/2015 06:03:34AM, view, system alert CA03957
lzkinard, 05/09/2017 03:10:17AM, view, system alert CA03957
vtaranda, 03/02/2015 10:40:43PM, view, system alert CA03957
lzkinard, 09/23/2017 02:09:57PM, view, system alert CA03957
lzkinard, 04/07/2017 09:58:37AM, view, system alert CA03957
mlblack, 06/18/2015 06:44:17PM, view, system alert CA03937
vtaranda, 07/01/2017 07:29:27PM, view, system alert CA03937
mnshepherd, 07/21/2015 01:43:49AM, view, system alert CA03764
mnshepherd, 11/07/2015 07:23:29AM, view, system alert CA03725
hqcooney, 04/20/2017 06:42:46AM, view, system alert CA03725
gmgoins, 05/25/2015 01:56:52AM, view, system alert CA03725
akbonilla, 11/25/2017 01:50:52AM, view, system alert CA03725
lzkinard, 09/02/2015 04:19:29AM, view, system alert CA03725
tbbeard, 05/21/2015 11:34:25PM, view, system alert CA03725
mlblack, 09/26/2015 01:42:57AM, view, system alert CA03725
lzkinard, 07/08/2016 05:17:37AM, view, system alert CA03725
hflovell, 08/24/2017 01:05:25PM, view, system alert CA03725
akbonilla, 09/18/2016 04:18:55AM, view, system alert CA03725
wjloyd, 06/21/2017 02:39:22AM, view, system alert CA03725
mlblack, 11/15/2017 02:19:24AM, view, system alert CA03725
mlblack, 07/27/2016 08:43:21PM, view, system alert CA03725
vtaranda, 04/22/2015 11:30:00PM, view, system alert CA03725
hqcooney, 12/25/2017 11:06:17AM, view, system alert CA03725
lzkinard, 06/16/2017 01:38:52PM, view, system alert CA03725
vtaranda, 01/22/2017 12:28:48AM, view, system alert CA03725
tbbeard, 10/10/2016 03:40:29AM, view, system alert CA03725
mnshepherd, 07/20/2015 06:31:42AM, view, system alert CA03725
ttschubert, 02/17/2017 06:27:36AM, view, system alert CA03725
vtaranda, 09/24/2017 05:15:46PM, view, system alert CA03725
gmgoins, 09/18/2017 07:38:10AM, view, system alert CA03725
ttschubert, 12/22/2015 06:45:55AM, view, system alert CA03725
akbonilla, 12/24/2017 12:24:37AM, view, system alert CA03725
lzkinard, 03/21/2015 04:50:19PM, view, system alert CA03725
tbbeard, 05/14/2016 04:11:37AM, view, system alert CA03725
gmgoins, 04/05/2017 07:44:38AM, view, system alert CA03725
gphsu, 03/14/2015 06:11:39PM, view, system alert CA03725
mnshepherd, 10/27/2017 07:11:15AM, view, system alert CA03646
