USERNAME, TIMESTAMP, ACTION, RESOURCE
pdferrari, 06/15/2017 01:30:47PM, view, system alert CA03974
pdferrari, 06/02/2017 07:38:30PM, view, system alert CA03398
hqcooney, 04/02/2016 09:49:39AM, view, system alert CA00277
akbonilla, 12/10/2017 04:01:50PM, view, system alert CA00277
hflovell, 08/09/2017 09:03:46PM, view, system alert CA00277
akbonilla, 05/01/2015 11:13:17AM, view, system alert CA00277
pdferrari, 11/11/2017 03:28:37PM, view, system alert CA00277
hqcooney, 02/23/2015 02:33:25PM, view, system alert CA00277
tbbeard, 09/09/2015 03:58:00AM, view, system alert CA00277
gphsu, 03/14/2016 09:46:43AM, view, system alert CA00277
pdferrari, 05/05/2015 06:53:04PM, view, system alert CA00277
hqcooney, 11/07/2015 11:10:03AM, view, system alert CA00277
tbbeard, 01/13/2016 10:37:39PM, view, system alert CA00277
hflovell, 01/01/2017 12:41:26AM, view, system alert CA00277
pdferrari, 03/13/2017 09:22:41PM, view, system alert CA00277
akbonilla, 12/26/2017 12:10:12PM, view, system alert CA00277
pdferrari, 08/26/2016 06:35:47PM, view, system alert CA00277
tbbeard, 09/22/2017 10:14:16AM, view, system alert CA00277
gphsu, 01/26/2017 03:58:38AM, view, system alert CA00277
akbonilla, 11/20/2016 04:49:15PM, view, system alert CA00277
hqcooney, 06/01/2016 10:45:35AM, view, system alert CA00277
tbbeard, 03/07/2015 01:56:02PM, view, system alert CA00277
pdferrari, 03/02/2016 05:15:02AM, view, system alert CA00277
tbbeard, 12/26/2016 05:11:32PM, view, system alert CA00277
pdferrari, 10/18/2017 11:23:09PM, view, system alert CA00277
pdferrari, 05/10/2015 01:25:09AM, view, patient specific instructions A474
tbbeard, 10/22/2017 12:29:54PM, view, office visit OV03920
hflovell, 05/20/2016 01:05:45AM, view, office visit OV01950
hqcooney, 04/18/2016 04:58:30AM, view, office visit OV01950
hflovell, 10/02/2015 04:30:26PM, view, office visit OV01950
akbonilla, 04/23/2015 10:24:41AM, view, office visit OV01950
hflovell, 01/02/2015 09:02:30AM, view, office visit OV01950
pdferrari, 05/25/2016 11:29:23PM, view, office visit OV01950
pdferrari, 06/27/2016 10:21:57PM, view, office visit OV01950
gphsu, 07/14/2017 08:18:57PM, view, office visit OV01950
hqcooney, 01/05/2016 01:37:22AM, view, office visit OV01950
hqcooney, 08/10/2016 08:45:25AM, view, office visit OV01950
akbonilla, 01/20/2017 01:45:57PM, view, office visit OV01950
akbonilla, 07/01/2015 02:49:43AM, view, office visit OV01950
pdferrari, 12/07/2015 01:20:39AM, view, office visit OV01950
hflovell, 04/24/2016 07:49:30PM, view, office visit OV01950
pdferrari, 09/24/2015 09:16:36PM, view, office visit OV01950
tbbeard, 11/21/2017 05:55:43AM, view, office visit OV01950
tbbeard, 06/24/2015 03:39:17AM, view, office visit OV01950
pdferrari, 02/05/2017 05:38:41PM, view, office visit OV01950
akbonilla, 11/16/2016 05:21:17AM, view, office visit OV01950
tbbeard, 03/11/2017 08:17:56PM, view, office visit OV01950
pdferrari, 10/23/2016 08:48:46PM, view, office visit OV01950
gphsu, 08/19/2017 04:35:10AM, view, office visit OV01950
akbonilla, 07/04/2016 07:20:44PM, view, office visit OV01950
tbbeard, 02/25/2015 10:20:28PM, view, office visit OV01950
hqcooney, 08/23/2017 01:58:42PM, view, office visit OV01935
hflovell, 10/21/2016 04:45:49PM, view, office visit OV01426
gphsu, 12/16/2016 11:30:28AM, view, office visit OV01061
akbonilla, 10/14/2017 10:06:41PM, view, office visit OV01061
gphsu, 08/23/2017 04:09:32PM, view, office visit OV00436
pdferrari, 02/05/2017 04:33:45PM, view, notification NX3677
hflovell, 11/13/2016 03:32:46AM, view, notification NX3579
hflovell, 11/07/2016 01:02:13AM, view, notification NX3579
hqcooney, 04/24/2017 09:55:24AM, view, notification NX3579
hflovell, 09/10/2017 04:50:03AM, view, notification NX3579
akbonilla, 10/16/2015 11:17:53AM, view, notification NX3579
pdferrari, 04/18/2016 04:25:26AM, view, notification NX3194
gphsu, 09/19/2016 01:26:25AM, view, notification NX3194
pdferrari, 01/01/2017 05:01:41PM, view, notification NX3194
akbonilla, 12/01/2016 09:54:16AM, view, notification NX3194
hflovell, 04/25/2016 08:00:19PM, view, notification NX3194
tbbeard, 12/03/2016 05:21:30AM, view, notification NX3194
hqcooney, 03/21/2015 03:00:07AM, view, notification NX3194
hqcooney, 07/20/2015 01:45:53PM, view, notification NX3194
tbbeard, 03/18/2015 03:44:50PM, view, notification NX3194
gphsu, 01/24/2015 10:39:06PM, view, notification NX3194
gphsu, 05/12/2017 02:42:06AM, view, notification NX3194
gphsu, 08/08/2016 01:23:49PM, view, notification NX3194
akbonilla, 05/22/2017 05:43:58AM, view, notification NX3194
gphsu, 12/04/2015 07:26:35AM, view, notification NX3194
gphsu, 08/10/2015 02:22:56PM, view, notification NX3194
hqcooney, 10/15/2015 12:00:12PM, view, notification NX3194
pdferrari, 08/19/2015 12:01:07PM, view, notification NX3194
akbonilla, 05/17/2015 03:05:21PM, view, notification NX3194
tbbeard, 10/11/2016 05:00:22AM, view, notification NX3194
pdferrari, 10/23/2016 02:30:21AM, view, notification NX3194
akbonilla, 11/02/2015 01:58:33AM, view, notification NX3194
tbbeard, 09/23/2015 11:14:43AM, view, notification NX3194
tbbeard, 02/24/2016 09:12:25PM, view, notification NX3194
pdferrari, 01/18/2015 01:22:23PM, view, notification NX3194
akbonilla, 06/17/2016 07:21:52AM, view, notification NX3194
hqcooney, 12/17/2015 07:57:26AM, view, notification NX3194
gphsu, 07/12/2015 01:51:40AM, view, notification NX3194
hflovell, 07/05/2017 11:42:08PM, view, notification NX3194
akbonilla, 03/07/2015 08:48:31AM, view, notification NX3194
tbbeard, 08/22/2015 01:16:35PM, view, notification NX3194
tbbeard, 05/15/2017 05:16:44PM, view, notification NX3194
hqcooney, 11/17/2017 04:12:48AM, view, notification NX3194
pdferrari, 05/13/2017 06:28:15AM, view, notification NX3194
pdferrari, 03/09/2017 08:35:00AM, view, notification NX3194
hqcooney, 11/05/2016 05:36:59AM, view, notification NX3194
tbbeard, 05/18/2015 02:39:06AM, view, notification NX3194
gphsu, 12/02/2016 02:02:19AM, view, notification NX3194
hflovell, 10/10/2017 08:47:46PM, view, notification NX3036
tbbeard, 05/05/2017 12:56:38PM, view, notification NX2168
tbbeard, 06/05/2017 11:53:49AM, view, notification NX0592
hqcooney, 04/04/2016 05:46:17PM, view, notification NX0592
hflovell, 12/04/2015 02:38:31PM, view, notification NX0592
hflovell, 06/09/2017 02:52:44PM, view, notification NX0592
hqcooney, 09/25/2017 11:14:41AM, view, notification NX0592
tbbeard, 10/07/2017 10:02:12PM, view, notification NX0592
akbonilla, 06/25/2015 06:19:24AM, view, notification NX0586
hqcooney, 06/05/2016 01:28:03AM, view, notification NX0541
pdferrari, 01/14/2016 09:54:13AM, view, negative blood type flag
akbonilla, 06/03/2016 04:39:24PM, view, negative blood type flag
pdferrari, 04/15/2015 02:48:29AM, view, message M5890
tbbeard, 04/12/2015 08:04:43PM, view, message M5041
hflovell, 07/06/2017 01:33:08AM, view, message M4194
gphsu, 05/09/2017 08:55:37AM, view, message M2691
tbbeard, 02/17/2016 07:59:38PM, view, message M1605
tbbeard, 01/24/2017 09:04:43AM, view, message M1576
hflovell, 04/24/2016 07:50:16AM, view, appointment A004376
hqcooney, 03/13/2016 03:43:25AM, view, appointment A002544
hflovell, 09/21/2015 01:35:27AM, view, appointment A002100
gphsu, 08/15/2015 04:46:41PM, view, appointment A001679
hqcooney, 04/21/2016 11:16:34AM, view, appointment A000087
tbbeard, 09/17/2016 04:54:19PM, view, ND code 355
pdferrari, 12/08/2016 05:06:34PM, view, LOINC code 144
akbonilla, 04/26/2016 06:22:02AM, view, ICD-10 Code 253
gphsu, 07/14/2016 02:43:08PM, view, ICD-10 Code 253
gphsu, 10/24/2016 01:03:02AM, view, ICD-10 Code 1010
gphsu, 02/12/2015 06:31:03AM, view, ICD-10 Code 1010
akbonilla, 06/15/2017 09:31:50PM, update, system alert CA04042
gphsu, 08/08/2016 01:41:46PM, update, system alert CA03604
tbbeard, 03/08/2016 06:14:11PM, update, system alert CA03362
gphsu, 08/24/2016 07:39:54PM, update, system alert CA03362
tbbeard, 04/07/2015 01:04:57AM, update, system alert CA03362
gphsu, 04/01/2017 11:27:48PM, update, system alert CA03362
tbbeard, 10/07/2015 06:10:55AM, update, system alert CA03362
tbbeard, 05/20/2016 11:05:29PM, update, system alert CA03362
hqcooney, 05/03/2017 05:19:44PM, update, system alert CA03362
akbonilla, 01/27/2015 08:44:08AM, update, system alert CA03362
pdferrari, 08/06/2015 12:40:02PM, update, system alert CA03362
tbbeard, 04/11/2016 08:01:21PM, update, system alert CA03362
tbbeard, 07/15/2017 04:31:08AM, update, system alert CA03362
pdferrari, 06/11/2015 05:37:56PM, update, system alert CA03362
akbonilla, 11/03/2016 12:36:44AM, update, system alert CA03362
akbonilla, 08/01/2015 04:34:41AM, update, system alert CA03362
gphsu, 06/05/2015 02:59:24PM, update, system alert CA03362
pdferrari, 03/11/2017 03:29:22AM, update, system alert CA03362
hflovell, 05/09/2017 05:07:44AM, update, system alert CA03362
pdferrari, 05/09/2016 07:04:19PM, update, system alert CA03362
gphsu, 12/23/2016 05:41:33PM, update, system alert CA03362
pdferrari, 02/02/2017 07:11:42AM, update, system alert CA03362
akbonilla, 07/09/2017 03:12:13PM, update, system alert CA03362
gphsu, 12/25/2016 11:31:28PM, update, system alert CA03362
hflovell, 08/09/2016 12:34:38AM, update, system alert CA03362
pdferrari, 12/01/2015 09:45:49AM, update, system alert CA03362
hqcooney, 01/06/2017 07:30:55PM, update, system alert CA03362
hqcooney, 04/23/2016 01:19:24AM, update, system alert CA03362
hqcooney, 07/21/2016 08:18:31PM, update, system alert CA02768
gphsu, 10/23/2015 01:15:35AM, update, system alert CA02768
tbbeard, 04/19/2016 10:54:48PM, update, system alert CA02768
hflovell, 11/25/2015 03:28:57PM, update, system alert CA02768
hflovell, 09/11/2017 11:08:00AM, update, system alert CA02768
pdferrari, 12/21/2017 02:04:36AM, update, system alert CA02768
hqcooney, 06/23/2017 04:12:44PM, update, system alert CA02768
hflovell, 06/14/2016 12:59:12AM, update, system alert CA02768
hflovell, 02/07/2015 10:39:04AM, update, system alert CA02768
hflovell, 07/09/2017 02:57:03PM, update, system alert CA02768
tbbeard, 03/08/2016 08:20:24PM, update, system alert CA02768
hqcooney, 05/12/2016 05:18:36AM, update, system alert CA02768
tbbeard, 05/19/2017 06:17:11AM, update, system alert CA02768
pdferrari, 10/09/2016 02:14:16PM, update, system alert CA02768
akbonilla, 08/07/2016 01:47:51AM, update, system alert CA02768
tbbeard, 10/12/2015 09:33:37PM, update, system alert CA02768
tbbeard, 01/08/2016 12:35:46PM, update, system alert CA02768
akbonilla, 02/07/2015 12:34:29PM, update, system alert CA02768
gphsu, 06/22/2015 02:58:40AM, update, system alert CA02768
pdferrari, 12/25/2017 03:37:41AM, update, system alert CA02768
tbbeard, 09/26/2015 02:37:25PM, update, system alert CA01469
